our_color,our_rating,opp_rating,rating_diff,time_class,eco,opening_family,move_count,outcome
white,469,442,27,rapid,C20,Kings,179,1.0
black,477,443,34,rapid,B01,Scandinavian,204,1.0
white,485,400,85,rapid,C40,Kings,27,1.0
white,476,469,7,rapid,B00,Kings,104,0.0
white,476,464,12,rapid,B01,Scandinavian,130,0.5
white,486,564,-78,rapid,B01,Scandinavian,59,1.0
white,486,477,9,rapid,B01,Scandinavian,216,0.5
black,478,476,2,rapid,B07,Pirc,141,0.0
black,488,562,-74,rapid,B00,Nimzowitsch,128,1.0
black,209,239,-30,blitz,A16,English,157,0.0
black,480,499,-19,rapid,B02,Alekhines,156,0.0
white,480,418,62,rapid,C42,Petrovs,211,1.0
black,480,418,62,rapid,C42,Petrovs,14,0.0
white,471,427,44,rapid,C20,Kings,267,0.0
white,463,470,-7,rapid,C45,Scotch,82,0.0
white,471,453,18,rapid,C41,Philidor,49,1.0
white,481,488,-7,rapid,C26,Vienna,112,1.0
white,489,454,35,rapid,C42,Petrovs,64,1.0
white,497,451,46,rapid,B07,Pirc,90,1.0
white,489,485,4,rapid,B01,Scandinavian,103,0.0
black,481,501,-20,rapid,B20,Kings,198,0.0
black,487,406,81,rapid,B02,Alekhines,101,1.0
white,485,408,77,rapid,B07,Pirc,221,0.5
black,494,415,79,rapid,D02,Queens,113,1.0
black,504,553,-49,rapid,B02,Alekhines,101,1.0
white,512,475,37,rapid,C40,Kings,59,1.0
black,504,504,0,rapid,A40,Queens,184,0.0
white,497,558,-61,rapid,C24,Bishops,130,0.0
white,507,491,16,rapid,C00,French,38,1.0
white,499,519,-20,rapid,C41,Philidor,94,0.0
black,509,586,-77,rapid,B07,Pirc,91,1.0
white,517,480,37,rapid,B02,Alekhines,104,1.0
white,509,521,-12,rapid,B02,Alekhines,180,0.0
black,503,587,-84,rapid,A40,Queens,149,0.0
black,511,478,33,rapid,B02,Alekhines,48,1.0
white,519,524,-5,rapid,B12,Caro,64,1.0
white,527,465,62,rapid,B01,Scandinavian,93,1.0
black,538,638,-100,rapid,C41,Philidor,85,1.0
black,533,709,-176,rapid,C30,Kings,42,0.0
white,525,524,1,rapid,B01,Scandinavian,212,0.0
black,516,510,6,rapid,C20,Kings,55,0.0
white,510,618,-108,rapid,B01,Scandinavian,162,0.0
black,520,475,45,rapid,D00,Queens,37,1.0
white,528,510,18,rapid,B00,Kings,8,1.0
black,536,512,24,rapid,B02,Alekhines,56,1.0
white,536,535,1,rapid,C82,Ruy,199,0.5
white,544,489,55,rapid,C20,Kings,274,1.0
white,536,532,4,rapid,C20,Kings,150,0.0
white,543,506,37,rapid,C42,Petrovs,56,1.0
